dossier_id,genre,age,zone,secteur,informel,personnes_a_charge,anciennete_activite_mois,chiffre_affaires,charges_activite,revenu_activite,flux_tresorerie_net,charges_perso,montant_demande,duree_mois,mensualite,taux_endettement,couverture_cashflow,epargne_mensuelle,regularite_epargne,participe_tontine,regularite_tontine,a_historique,nb_credits_anterieurs,nb_retards,deja_impaye,a_caution,capacite_caution,score_reputation,type_probleme,defaut,anciennete_membre_mois,endettement_externe_declare,montant_dernier_credit,type_credit,type_garantie,valeur_garantie,pertinence_saisonniere,croissance_ventes_pct,employeur_nom
BRK-2026-000011,F,20,rural,services,0,2,51,218000,76000,142000,23936,20000,150000,12,12500,0.088,1.9149,16000,0.375,0,0.0,1,1,1,0,1,0.801,0.949,aucun,0,24,71000,150000,productif_fonds_roulement,,150000,favorable,-31,
BRK-2026-000012,F,46,rural,vente_vivres,0,3,31,1075000,898000,177000,273997,122000,1600000,18,88889,0.5022,3.0825,3000,0.368,1,0.775,0,0,3,0,0,0.0,0.431,aucun,0,31,,,,materiel,1650000,neutre,,
BRK-2026-000013,F,37,rural,commerce_detail,0,1,23,2328000,1971000,357000,1902553,67000,3100000,12,258333,0.7236,7.3647,36000,0.422,0,0.0,1,4,0,0,1,0.662,0.88,aucun,0,4,0,,productif_fonds_roulement,caution_solidaire,3400000,,,Fictif Négoce Nakambé
BRK-2026-000014,F,23,urbain,commerce_detail,1,4,54,3003000,2380000,623000,223181,69000,1700000,12,141667,0.2274,1.5754,3000,0.412,1,0.388,1,5,1,0,1,0.291,0.56,aucun,0,54,0,1000000,productif_equipement,foncier,1700000,defavorable,9,
BRK-2026-000015,M,42,rural,agriculture,1,4,20,165000,119000,46000,26524,39000,150000,12,12500,0.2717,2.1219,19000,0.175,0,0.0,0,0,0,0,0,0.0,0.841,aucun,0,20,0,,agricole,vehicule,200000,,-8,
BRK-2026-000016,F,39,urbain,commerce_detail,0,3,47,2961000,2573000,388000,668115,66000,1200000,12,100000,0.2577,6.6812,13000,0.184,1,0.646,1,2,0,0,1,0.308,0.903,aucun,0,,,,productif_fonds_roulement,caution_solidaire,500000,,,
BRK-2026-000017,F,38,urbain,services,0,1,72,648000,201000,447000,230874,42000,700000,12,58333,0.1305,3.9579,12000,0.566,1,0.669,0,0,0,0,0,0.0,0.711,aucun,0,14,351000,,productif_fonds_roulement,aucune,,,14,
BRK-2026-000018,M,42,rural,services,1,3,68,512000,155000,357000,80160,20000,475000,18,26389,0.0739,3.0376,14000,0.522,0,0.0,0,0,0,0,1,0.568,0.819,retards,1,,0,,agricole,domiciliation_salaire,425000,,25,
BRK-2026-000019,M,34,urbain,quincaillerie_materiaux,1,4,37,2437000,2123000,314000,1033367,40000,1950000,12,162500,0.5175,6.3592,0,0.386,1,0.328,1,2,1,0,1,0.778,0.627,aucun,0,34,,1550000,productif_equipement,materiel,,,,
BRK-2026-000020,F,29,urbain,vente_vivres,0,2,49,4391000,3874000,517000,539337,43000,2500000,12,208333,0.403,2.5888,20000,0.828,1,0.905,1,3,0,0,0,0.0,0.693,aucun,0,,0,1250000,btp_marche_public,materiel,1900000,,,
BRK-2026-000021,M,42,urbain,commerce_detail,1,4,17,2940000,2461000,479000,342853,94000,1950000,9,216667,0.4523,1.5824,0,0.81,1,0.875,1,2,0,1,1,0.535,0.64,aucun,0,3,0,,productif_fonds_roulement,materiel,2400000,neutre,-18,
BRK-2026-000022,F,37,rural,commerce_detail,1,4,44,210000,159000,51000,234981,51000,600000,24,25000,0.4902,9.3992,9000,0.817,1,0.873,1,1,0,0,0,0.0,0.761,aucun,0,19,0,200000,salarie_autre,foncier,550000,neutre,-45,Fictif Négoce Nakambé
BRK-2026-000023,M,31,urbain,agriculture,0,3,20,1304000,811000,493000,287043,71000,1300000,12,108333,0.2197,2.6496,311000,0.46,0,0.0,0,0,0,0,0,0.0,0.528,aucun,0,6,,,agricole,aucune,,neutre,,
BRK-2026-000024,M,33,urbain,vente_vivres,1,2,70,114000,106000,8000,92760,67000,150000,12,12500,1.5625,7.4208,29000,0.549,0,0.0,0,0,0,0,1,0.96,0.968,aucun,0,44,,,,,,neutre,-29,
BRK-2026-000025,F,44,urbain,commerce_detail,1,5,84,2447000,2200000,247000,1369987,36000,1350000,12,112500,0.4555,12.1777,4000,0.625,1,0.956,1,3,0,0,1,0.431,0.875,aucun,0,84,0,750000,salarie_autre,,850000,,39,Fictif Coton Faso Services
BRK-2026-000026,M,40,urbain,agriculture,1,5,11,373000,242000,131000,87726,69000,325000,12,27083,0.2067,3.2392,23000,0.767,1,0.6,1,2,2,1,0,0.0,0.63,aucun,0,,0,,agricole,aucune,,neutre,9,
BRK-2026-000027,F,34,urbain,commerce_detail,1,4,94,994000,904000,90000,1175408,46000,1050000,12,87500,0.9722,13.4332,157000,0.353,1,0.661,0,0,1,0,1,0.33,0.425,impaye,1,44,0,,,,,favorable,-12,
BRK-2026-000028,M,48,urbain,commerce_detail,1,3,55,528000,405000,123000,383706,48000,400000,6,66667,0.542,5.7556,0,0.605,1,0.994,1,3,0,1,1,0.723,0.983,aucun,0,,,,productif_fonds_roulement,domiciliation_salaire,150000,defavorable,33,
BRK-2026-000029,M,37,rural,commerce_detail,1,2,92,90000,85000,5000,11153,106000,150000,18,8333,1.6666,1.3384,43000,0.256,1,0.743,1,2,0,0,1,0.54,0.84,retards,1,18,,150000,productif_immobilier,caution_solidaire,150000,,,
BRK-2026-000030,F,46,rural,vente_vivres,1,4,48,1264000,1141000,123000,18965,52000,325000,12,27083,0.2202,0.7003,45000,0.217,1,0.875,1,1,1,0,1,0.455,0.574,aucun,0,48,,175000,productif_fonds_roulement,,250000,favorable,29,
BRK-2026-000031,M,32,rural,agriculture,1,4,48,3147000,1874000,1273000,898432,47000,5000000,12,416667,0.3273,2.1562,30000,0.736,1,0.723,0,0,0,0,0,0.0,0.894,aucun,0,25,,,agricole,aucune,,neutre,19,
BRK-2026-000032,M,22,urbain,commerce_detail,1,0,31,1813000,1294000,519000,699700,100000,1650000,9,183333,0.3532,3.8166,7000,0.047,1,0.385,1,1,2,0,1,0.256,0.607,retards,1,,0,,salarie_autre,,1550000,,10,Fictif Boulangerie Faso Or
BRK-2026-000033,M,37,rural,services,0,3,62,174000,56000,118000,15347,79000,300000,18,16667,0.1412,0.9208,2000,0.561,1,0.666,0,0,0,0,0,0.0,0.479,aucun,0,,,,salarie_scolaire,aucune,,,-10,Fictif Boulangerie Faso Or
BRK-2026-000034,M,45,urbain,agriculture,0,2,42,164000,96000,68000,34089,76000,150000,12,12500,0.1838,2.7271,1000,0.73,0,0.0,0,0,0,0,1,0.632,0.814,aucun,0,,0,,agricole,caution_solidaire,150000,neutre,15,Fictif Comptoir du Sahel
BRK-2026-000035,F,32,urbain,quincaillerie_materiaux,1,5,82,1099000,993000,106000,67093,47000,650000,12,54167,0.511,1.2386,137000,0.458,0,0.0,0,0,1,0,1,0.673,0.831,aucun,0,82,0,,productif_equipement,,750000,neutre,60,
BRK-2026-000036,F,49,urbain,vente_vivres,1,4,34,5160000,4586000,574000,1161129,51000,6300000,18,350000,0.6098,3.3175,32000,0.687,0,0.0,1,4,0,0,1,0.274,0.811,aucun,0,,0,,productif_fonds_roulement,vehicule,,neutre,11,
BRK-2026-000037,F,45,rural,services,1,1,96,238000,75000,163000,108858,72000,150000,12,12500,0.0767,8.7086,2000,0.517,1,0.334,0,0,2,0,1,0.307,0.889,aucun,0,,0,,productif_fonds_roulement,,175000,neutre,-46,
BRK-2026-000038,F,36,urbain,commerce_detail,1,5,38,326000,265000,61000,9770,20000,150000,12,12500,0.2049,0.7816,27000,0.661,1,0.846,0,0,1,0,1,0.898,0.452,aucun,0,7,0,,productif_fonds_roulement,,225000,neutre,,
BRK-2026-000039,F,34,rural,commerce_detail,0,2,15,660000,576000,84000,105567,37000,225000,12,18750,0.2232,5.6302,13000,0.281,1,0.46,0,0,2,0,1,0.482,0.845,retards,1,11,0,,productif_fonds_roulement,caution_solidaire,275000,,,Fictif Coton Faso Services
BRK-2026-000040,F,30,urbain,services,0,3,74,27231000,9403000,17828000,1819280,58000,15500000,12,1291667,0.0725,1.4085,2000,0.939,1,0.499,1,3,2,0,1,0.498,0.573,aucun,0,32,0,,productif_equipement,,4500000,neutre,,Fictif Boulangerie Faso Or
BRK-2026-000041,M,33,urbain,artisanat,0,3,16,279000,163000,116000,35194,79000,150000,12,12500,0.1078,2.8155,18000,0.183,1,0.562,1,2,1,0,0,0.0,0.724,aucun,0,16,,150000,salarie_scolaire,aucune,,,-9,Fictif Négoce Nakambé
BRK-2026-000042,M,33,urbain,quincaillerie_materiaux,0,6,21,2101000,1650000,451000,802475,84000,3300000,24,137500,0.3049,5.8362,0,0.83,1,0.911,1,3,1,0,0,0.0,0.793,aucun,0,,360000,1200000,productif_fonds_roulement,aucune,,,9,Fictif Transport Kadiogo
BRK-2026-000043,F,48,urbain,artisanat,0,6,81,6174000,3218000,2956000,597099,63000,5300000,12,441667,0.1494,1.3519,29000,0.156,1,0.315,1,3,2,0,0,0.0,0.759,aucun,0,81,0,,productif_fonds_roulement,materiel,2300000,,-16,Fictif Clinique Wentenga
BRK-2026-000044,M,45,urbain,artisanat,1,1,72,90000,62000,28000,41696,48000,150000,12,12500,0.4464,3.3357,49000,0.741,0,0.0,1,4,0,0,0,0.0,0.799,aucun,0,,19000,150000,agricole,aucune,,,-17,
BRK-2026-000045,F,30,urbain,commerce_detail,1,5,17,10857000,10249000,608000,714153,91000,2900000,12,241667,0.3975,2.9551,12000,0.361,1,0.769,0,0,1,0,1,0.48,0.866,aucun,0,,0,,productif_equipement,,,neutre,-35,
BRK-2026-000046,F,23,urbain,services,1,5,71,90000,27000,63000,2025,44000,150000,24,6250,0.0992,0.324,7000,0.918,1,0.419,0,0,1,0,0,0.0,0.489,aucun,0,71,0,,productif_fonds_roulement,,,neutre,33,
BRK-2026-000047,F,46,urbain,services,1,2,58,151000,49000,102000,14532,80000,150000,12,12500,0.1225,1.1626,6000,0.97,1,0.596,1,5,0,0,1,0.302,0.738,aucun,0,4,0,,salarie_autre,,150000,neutre,,Fictif Négoce Nakambé
BRK-2026-000048,F,37,rural,agriculture,1,2,31,693000,497000,196000,24538,116000,325000,12,27083,0.1382,0.906,19000,0.602,1,0.795,0,0,0,0,1,0.331,0.776,aucun,0,7,,,agricole,caution_solidaire,150000,neutre,49,
BRK-2026-000049,M,38,urbain,commerce_detail,0,2,71,349000,326000,23000,31138,124000,150000,12,12500,0.5435,2.491,8000,0.824,0,0.0,1,3,0,0,1,0.366,0.588,aucun,0,70,0,,productif_fonds_roulement,,150000,,,
BRK-2026-000050,M,33,urbain,vente_vivres,0,2,71,271000,236000,35000,103824,99000,150000,9,16667,0.4762,6.2293,14000,0.855,1,0.675,0,0,0,0,1,0.773,0.699,aucun,0,,,,productif_equipement,caution_solidaire,150000,,,
BRK-2026-000051,M,27,urbain,commerce_detail,0,3,45,546000,495000,51000,66490,76000,200000,12,16667,0.3268,3.9893,4000,0.645,0,0.0,1,2,0,0,1,0.431,0.822,aucun,0,17,0,150000,,,150000,,,Fictif Atelier Bobo Artisans
BRK-2026-000052,F,41,urbain,commerce_detail,0,4,29,333000,259000,74000,105289,54000,375000,12,31250,0.4223,3.3692,0,0.546,0,0.0,0,0,0,0,0,0.0,0.659,aucun,0,,,,productif_fonds_roulement,vehicule,,favorable,9,Fictif Clinique Wentenga
BRK-2026-000053,F,21,urbain,services,0,3,55,1346000,402000,944000,446918,44000,1300000,12,108333,0.1148,4.1254,3000,0.361,0,0.0,1,3,0,0,0,0.0,0.75,aucun,0,,0,750000,productif_equipement,foncier,1300000,,,Fictif Négoce Nakambé
BRK-2026-000054,M,34,urbain,quincaillerie_materiaux,1,2,41,3270000,3093000,177000,237800,79000,425000,9,47222,0.2668,5.0358,6000,0.971,0,0.0,1,2,1,0,1,0.296,0.485,aucun,0,29,0,,productif_equipement,materiel,,,-13,
BRK-2026-000055,F,44,urbain,vente_vivres,1,4,53,905000,856000,49000,189162,49000,150000,6,25000,0.5102,7.5665,12000,0.321,0,0.0,1,1,1,1,1,0.395,0.934,impaye,1,23,,,btp_marche_public,caution_solidaire,150000,,-14,
BRK-2026-000056,F,37,urbain,artisanat,0,4,120,90000,54000,36000,12524,43000,150000,12,12500,0.3472,1.0019,17000,0.11,1,0.848,0,0,1,0,1,0.224,0.872,aucun,0,117,,,productif_fonds_roulement,aucune,,neutre,74,
BRK-2026-000057,F,26,urbain,artisanat,0,6,59,238000,132000,106000,45574,55000,175000,12,14583,0.1376,3.1251,42000,0.25,1,0.705,0,0,0,0,0,0.0,0.621,aucun,0,35,152000,,salarie_autre,aucune,,,,Fictif Boulangerie Faso Or
BRK-2026-000058,M,32,rural,services,0,1,29,964000,326000,638000,108285,33000,500000,12,41667,0.0653,2.5988,1000,0.863,1,0.78,0,0,0,0,1,0.411,0.305,aucun,0,6,0,,agricole,,150000,,9,Fictif Faso Distribution
BRK-2026-000059,M,34,urbain,quincaillerie_materiaux,0,1,66,6482000,6127000,355000,201265,40000,1600000,12,133333,0.3756,1.5095,4000,0.96,1,0.529,1,2,0,0,1,0.567,0.5,aucun,0,,,550000,productif_immobilier,,650000,neutre,-12,
BRK-2026-000060,M,49,urbain,services,0,4,50,565000,205000,360000,91008,56000,850000,18,47222,0.1312,1.9272,11000,0.241,1,0.938,0,0,2,0,1,0.459,0.721,aucun,0,50,,,productif_equipement,foncier,1100000,,17,Fictif Quincaillerie du Plateau
BRK-2026-000061,F,26,rural,commerce_detail,0,1,40,90000,75000,15000,40012,46000,150000,12,12500,0.8333,3.201,17000,0.996,0,0.0,1,1,0,0,1,0.748,0.912,aucun,0,,,150000,productif_fonds_roulement,aucune,,neutre,21,
BRK-2026-000062,M,50,rural,commerce_detail,1,2,39,113000,84000,29000,137928,48000,150000,12,12500,0.431,11.0342,8000,0.564,1,0.698,0,0,0,0,1,0.422,0.754,aucun,0,38,0,,productif_fonds_roulement,caution_solidaire,,,,
BRK-2026-000063,M,36,urbain,artisanat,1,2,37,443000,235000,208000,171438,65000,650000,12,54167,0.2604,3.165,27000,0.22,0,0.0,0,0,0,0,0,0.0,0.759,aucun,0,,0,,salarie_scolaire,materiel,750000,,,Fictif École Privée Sahel
BRK-2026-000064,F,32,urbain,vente_vivres,0,2,29,1056000,835000,221000,54923,60000,650000,12,54167,0.2451,1.014,9000,0.626,1,0.186,0,0,0,0,1,0.748,0.825,aucun,0,,223000,,salarie_scolaire,caution_solidaire,475000,neutre,-19,Fictif Groupe Wend-Panga
BRK-2026-000065,F,50,urbain,services,1,2,47,5331000,1607000,3724000,1029691,69000,13500000,12,1125000,0.3021,0.9153,21000,0.406,0,0.0,0,0,1,0,1,0.948,0.883,aucun,0,35,0,,,vehicule,15500000,,-29,
BRK-2026-000066,M,44,rural,commerce_detail,1,1,100,494000,440000,54000,97420,37000,200000,12,16667,0.3086,5.8451,29000,0.3,0,0.0,1,1,0,0,1,0.458,0.371,aucun,0,6,83000,,btp_marche_public,,300000,,,
BRK-2026-000067,M,42,urbain,services,0,4,46,90000,26000,64000,117319,63000,150000,6,25000,0.3906,4.6928,9000,0.556,1,0.473,1,4,0,0,0,0.0,0.609,aucun,0,1,,150000,productif_fonds_roulement,materiel,150000,,,
BRK-2026-000068,F,36,rural,services,1,3,44,215000,77000,138000,41370,93000,200000,18,11111,0.0805,3.7233,0,0.544,1,0.54,1,2,0,0,1,0.315,0.866,aucun,0,,0,,productif_equipement,vehicule,200000,,2,
BRK-2026-000069,M,38,urbain,commerce_detail,1,4,45,1149000,982000,167000,125999,41000,1000000,12,83333,0.499,1.512,42000,0.496,1,0.159,0,0,0,0,1,0.388,0.61,aucun,0,45,,,productif_fonds_roulement,caution_solidaire,450000,,-3,
BRK-2026-000070,M,41,rural,quincaillerie_materiaux,0,4,47,4407000,4200000,207000,51607,23000,700000,6,116667,0.5636,0.4423,37000,0.898,1,0.951,0,0,3,0,1,0.861,0.801,aucun,0,14,237000,,productif_equipement,aucune,,,63,Fictif Comptoir du Sahel
BRK-2026-000071,M,32,urbain,services,1,3,47,2658000,924000,1734000,402142,68000,1150000,24,47917,0.0276,8.3925,29000,0.179,1,0.52,1,3,1,0,1,0.274,0.723,aucun,0,,,600000,,caution_solidaire,1150000,neutre,17,
BRK-2026-000072,M,30,urbain,quincaillerie_materiaux,1,3,50,1964000,1673000,291000,366565,53000,2600000,24,108333,0.3723,3.3837,16000,0.37,1,0.727,1,3,0,1,0,0.0,0.41,aucun,0,50,,950000,agricole,aucune,,neutre,-22,
BRK-2026-000073,M,63,rural,services,1,8,44,444000,138000,306000,138779,72000,400000,12,33333,0.1089,4.1634,3000,0.108,0,0.0,0,0,0,0,0,0.0,0.761,aucun,0,,,,salarie_scolaire,materiel,550000,,9,Fictif Négoce Nakambé
BRK-2026-000074,F,41,rural,commerce_detail,1,8,26,1419000,1142000,277000,48892,67000,800000,12,66667,0.2407,0.7334,26000,0.514,0,0.0,0,0,0,0,0,0.0,0.625,aucun,0,,0,,productif_equipement,aucune,,neutre,14,
BRK-2026-000075,F,26,urbain,vente_vivres,0,2,62,90000,82000,8000,110276,51000,150000,12,12500,1.5625,8.8221,0,0.297,0,0.0,1,3,4,0,1,0.477,0.747,retards,1,,5000,150000,productif_fonds_roulement,aucune,,neutre,40,
BRK-2026-000076,F,39,rural,quincaillerie_materiaux,0,1,37,2421000,2372580,48420,24810,70000,275000,12,22917,0.4733,1.0826,13000,0.841,1,0.852,0,0,0,0,1,0.586,0.66,aucun,0,37,,,productif_equipement,,200000,,,
BRK-2026-000077,M,34,urbain,agriculture,1,2,47,22713000,14494000,8219000,8619621,53000,24000000,12,2000000,0.2433,4.3098,4000,0.987,1,0.938,1,2,0,0,1,0.369,0.735,aucun,0,,,8800000,agricole,,,,,
BRK-2026-000078,M,54,urbain,vente_vivres,0,6,41,1434000,1101000,333000,512777,30000,1550000,12,129167,0.3879,3.9699,4000,0.162,1,0.489,1,1,1,1,1,0.536,0.738,aucun,0,8,0,,productif_immobilier,aucune,,favorable,13,
BRK-2026-000079,F,43,urbain,quincaillerie_materiaux,1,7,87,96000,79000,17000,18327,75000,250000,24,10417,0.6128,1.7593,4000,0.693,1,0.972,1,3,0,0,1,0.867,0.662,aucun,0,87,,200000,productif_equipement,foncier,150000,,,
BRK-2026-000080,F,28,urbain,commerce_detail,0,5,34,13115000,10404000,2711000,506724,26000,6500000,9,722222,0.2664,0.7016,21000,0.384,0,0.0,1,5,0,0,1,0.922,0.425,aucun,0,34,,2400000,salarie_autre,materiel,,favorable,3,Fictif Groupe Wend-Panga
BRK-2026-000081,F,36,urbain,quincaillerie_materiaux,1,3,61,90000,82000,8000,15124,74000,150000,12,12500,1.5625,1.2099,31000,0.127,0,0.0,1,6,0,1,0,0.0,0.862,retards,1,61,0,150000,agricole,materiel,150000,defavorable,,
BRK-2026-000082,F,28,rural,commerce_detail,1,4,50,2559000,2051000,508000,1406294,39000,2500000,9,277778,0.5468,5.0627,21000,0.814,1,0.657,1,3,1,0,1,0.563,0.779,aucun,0,16,,900000,salarie_autre,caution_solidaire,3200000,,,Fictif Atelier Bobo Artisans
BRK-2026-000083,F,20,rural,agriculture,0,3,46,259000,165000,94000,26767,59000,225000,12,18750,0.1995,1.4276,35000,0.937,0,0.0,1,1,1,0,0,0.0,0.71,aucun,0,,102000,150000,agricole,materiel,250000,,-21,Fictif Boulangerie Faso Or
BRK-2026-000084,M,33,urbain,vente_vivres,0,3,47,1222000,1106000,116000,146078,75000,1050000,12,87500,0.7543,1.6695,5000,0.235,1,0.925,0,0,0,0,0,0.0,0.532,aucun,0,47,194000,,productif_fonds_roulement,materiel,800000,neutre,9,Fictif Négoce Nakambé
BRK-2026-000085,M,44,rural,quincaillerie_materiaux,1,3,22,243000,184000,59000,162055,58000,300000,12,25000,0.4237,6.4822,0,0.134,1,0.49,0,0,0,0,1,0.111,0.561,retards,1,,0,,salarie_autre,caution_solidaire,425000,,,Fictif Boulangerie Faso Or
BRK-2026-000086,M,40,urbain,services,0,4,78,289000,91000,198000,25824,67000,175000,12,14583,0.0737,1.7708,34000,0.217,0,0.0,1,2,0,0,0,0.0,0.912,aucun,0,,0,150000,productif_immobilier,aucune,,defavorable,14,
BRK-2026-000087,M,28,urbain,commerce_detail,0,1,36,910000,729000,181000,412616,45000,950000,12,79167,0.4374,5.212,88000,0.317,1,0.647,1,3,0,0,1,0.42,0.876,aucun,0,36,0,325000,salarie_autre,caution_solidaire,1000000,favorable,29,Fictif Comptoir du Sahel
BRK-2026-000088,F,36,rural,vente_vivres,0,7,30,5495000,5175000,320000,437884,52000,3000000,24,125000,0.3906,3.5031,1000,0.847,0,0.0,1,3,0,0,1,0.191,0.554,aucun,0,,0,1300000,btp_marche_public,caution_solidaire,2200000,neutre,22,
BRK-2026-000089,M,40,urbain,artisanat,0,3,61,2280000,1256000,1024000,182568,66000,500000,6,83333,0.0814,2.1908,3000,0.272,1,0.587,1,1,2,0,0,0.0,0.719,aucun,0,47,185000,250000,productif_equipement,materiel,,,,Fictif Boulangerie Faso Or
BRK-2026-000090,F,43,rural,quincaillerie_materiaux,1,6,21,90000,88200,1800,30433,35000,150000,12,12500,3.0,2.4346,4000,0.47,1,0.879,0,0,1,0,1,0.422,0.568,retards,1,12,0,,salarie_scolaire,caution_solidaire,150000,neutre,,Fictif Faso Distribution
BRK-2026-000091,F,45,urbain,commerce_detail,1,4,18,2543000,1899000,644000,224738,44000,950000,12,79167,0.1229,2.8388,76000,0.385,0,0.0,1,2,1,0,1,0.531,0.789,aucun,0,,912000,375000,salarie_autre,caution_solidaire,1350000,,,Fictif École Privée Sahel
BRK-2026-000092,F,35,urbain,agriculture,1,1,61,955000,648000,307000,166086,38000,850000,24,35417,0.1154,4.6894,4000,0.77,0,0.0,0,0,2,0,1,0.181,0.681,aucun,0,51,,,agricole,caution_solidaire,900000,favorable,0,
BRK-2026-000093,F,46,rural,vente_vivres,1,2,35,1274000,987000,287000,1002830,67000,1900000,12,158333,0.5517,6.3337,10000,0.904,1,0.95,1,4,0,0,0,0.0,0.874,impaye,1,30,,1150000,salarie_autre,caution_solidaire,1500000,neutre,-18,Fictif École Privée Sahel
BRK-2026-000094,F,38,rural,vente_vivres,1,3,28,90000,79000,11000,18679,49000,200000,18,11111,1.0101,1.6811,0,0.89,1,0.683,1,4,0,0,1,0.741,0.505,aucun,0,28,0,150000,agricole,caution_solidaire,150000,defavorable,,
BRK-2026-000095,F,30,rural,services,0,4,26,1171000,407000,764000,1207906,70000,1950000,18,108333,0.1418,11.1499,7000,0.818,0,0.0,0,0,1,0,1,0.489,0.831,aucun,0,,,,productif_fonds_roulement,,550000,,,Fictif Transport Kadiogo
BRK-2026-000096,M,39,urbain,commerce_detail,1,3,48,563000,495000,68000,62404,58000,225000,12,18750,0.2757,3.3282,0,0.529,0,0.0,1,3,0,0,1,0.609,0.952,aucun,0,31,0,,agricole,,150000,favorable,,
BRK-2026-000097,M,47,urbain,commerce_detail,1,6,46,555000,424000,131000,114381,36000,900000,12,75000,0.5725,1.5251,51000,0.624,1,0.28,1,2,0,0,0,0.0,0.543,aucun,0,46,0,,agricole,aucune,,neutre,5,
BRK-2026-000098,F,40,urbain,services,1,4,30,12472000,4424000,8048000,899196,38000,4200000,6,700000,0.087,1.2846,0,0.667,0,0.0,1,2,0,0,1,0.862,0.806,aucun,0,23,0,2500000,productif_equipement,materiel,3100000,,41,
BRK-2026-000099,M,31,urbain,quincaillerie_materiaux,1,1,39,753000,632000,121000,264425,36000,800000,12,66667,0.551,3.9664,52000,0.161,1,0.911,1,3,0,1,0,0.0,0.643,aucun,0,30,,,salarie_scolaire,,,,,Fictif Négoce Nakambé
BRK-2026-000100,M,37,rural,agriculture,0,1,25,90000,56000,34000,19334,20000,150000,18,8333,0.2451,2.3202,27000,0.254,1,0.984,1,2,1,0,1,0.402,0.575,aucun,0,,0,150000,,,,neutre,,Fictif Garage Cascades
BRK-2026-000101,F,43,rural,quincaillerie_materiaux,0,3,84,90000,73000,17000,80558,82000,150000,12,12500,0.7353,6.4446,10000,0.254,0,0.0,1,2,0,0,1,0.447,0.707,aucun,0,3,6000,,agricole,,,defavorable,14,
BRK-2026-000102,M,33,urbain,commerce_detail,0,0,49,749000,656000,93000,126094,56000,475000,12,39583,0.4256,3.1856,30000,0.08,0,0.0,1,1,0,0,1,0.183,0.802,aucun,0,16,,,salarie_scolaire,,,,,Fictif Groupe Wend-Panga
