genre,age,zone,secteur,informel,personnes_a_charge,anciennete_activite_mois,chiffre_affaires,charges_activite,revenu_activite,flux_tresorerie_net,charges_perso,montant_demande,duree_mois,mensualite,taux_endettement,couverture_cashflow,epargne_mensuelle,regularite_epargne,participe_tontine,regularite_tontine,a_historique,nb_credits_anterieurs,nb_retards,deja_impaye,a_caution,capacite_caution,score_reputation,type_probleme,defaut
M,38,rural,commerce_detail,1,5,37,569000,504000,65000,62000,42000,621000,12,61100,0.94,1.015,9000,0.549,1,0.959,1,2,0,0,0,0,0.782,impaye,1
M,21,urbain,vente_vivres,1,5,34,1293000,1058000,235000,246000,115000,1163000,12,114400,0.487,2.15,27000,0.526,0,0,0,0,0,0,1,0.397,0.852,aucun,0
M,61,urbain,commerce_detail,0,7,57,393000,334000,59000,45000,40000,247000,12,24300,0.412,1.852,10000,0.7,0,0,1,4,2,0,1,0.553,0.955,aucun,0
M,26,rural,vente_vivres,1,6,30,94000,77000,17000,14000,20000,150000,24,7400,0.435,1.892,1000,0.765,1,0.734,1,1,0,0,1,0.382,0.646,aucun,0
M,45,rural,artisanat,0,3,20,818000,413000,405000,377000,80000,330000,12,32400,0.08,11.635,36000,0.788,1,0.383,1,1,0,0,0,0,0.351,aucun,0
F,28,rural,commerce_detail,1,2,29,198000,169000,29000,29000,26000,150000,12,14800,0.51,1.959,1000,0.288,0,0,0,0,0,0,1,0.447,0.59,aucun,0
F,34,urbain,vente_vivres,0,2,28,326000,282000,44000,34000,27000,150000,18,9800,0.223,3.469,2000,0.569,0,0,0,0,0,0,1,0.488,0.874,aucun,0
F,51,rural,artisanat,0,0,34,345000,224000,121000,111000,32000,303000,12,29800,0.246,3.725,17000,0.606,1,0.749,1,1,0,0,0,0,0.907,aucun,0
F,37,urbain,services,0,1,18,1139000,322000,817000,773000,51000,1016000,12,99900,0.122,7.738,100000,0.378,1,0.8,1,1,1,0,1,0.372,0.769,aucun,0
F,36,urbain,artisanat,1,1,34,248000,145000,103000,101000,54000,196000,18,12800,0.124,7.89,17000,0.556,1,0.426,1,3,1,0,0,0,0.387,aucun,0
M,29,urbain,services,0,1,28,350000,76000,274000,263000,38000,306000,24,15000,0.055,17.532,28000,0.701,0,0,0,0,0,0,0,0,0.848,aucun,0
M,39,rural,services,0,1,50,387000,120000,267000,217000,34000,226000,12,22200,0.083,9.774,43000,0.887,1,0.389,0,0,0,0,1,0.54,0.859,aucun,0
F,29,urbain,commerce_detail,1,4,53,22749000,19913000,2836000,2588000,99000,10051000,12,988300,0.348,2.619,141000,0.299,1,0.848,1,0,1,0,1,0.276,0.732,aucun,0
F,35,urbain,services,0,3,23,11727000,3216000,8511000,6487000,86000,4763000,18,312200,0.037,20.778,799000,0.376,1,0.659,0,0,0,0,1,0.773,0.814,aucun,0
F,44,urbain,commerce_detail,0,1,19,235000,195000,40000,37000,39000,150000,9,19700,0.492,1.878,2000,0.515,1,0.946,1,4,1,0,1,0.288,0.445,aucun,0
F,29,urbain,commerce_detail,1,1,58,306000,254000,52000,40000,42000,244000,12,24000,0.462,1.667,7000,0.385,1,0.877,1,1,1,1,0,0,0.745,impaye,1
F,23,urbain,vente_vivres,1,1,52,117000,98000,19000,16000,20000,150000,12,14800,0.779,1.081,3000,0.189,1,0.679,0,0,0,0,0,0,0.798,aucun,0
F,39,urbain,quincaillerie_materiaux,0,5,48,622000,568000,54000,41000,35000,377000,12,37100,0.687,1.105,1000,0.696,1,0.762,0,0,0,0,0,0,0.776,aucun,0
F,38,rural,commerce_detail,0,2,58,1286000,1142000,144000,123000,69000,388000,12,38200,0.265,3.22,10000,0.973,1,0.885,1,3,1,0,1,0.666,0.878,aucun,0
F,30,urbain,commerce_detail,0,4,39,218000,194000,24000,22000,101000,150000,12,14800,0.617,1.486,2000,0.208,0,0,1,6,1,0,1,0.573,0.604,aucun,0
F,35,urbain,vente_vivres,0,4,88,178000,146000,32000,25000,30000,150000,12,14800,0.462,1.689,2000,0.904,1,0.599,1,3,1,0,0,0,0.927,impaye,1
F,23,rural,commerce_detail,1,1,41,943000,755000,188000,176000,39000,272000,6,53500,0.285,3.29,3000,0.598,1,0.455,0,0,0,0,0,0,0.697,aucun,0
M,52,urbain,commerce_detail,0,0,18,667000,569000,98000,89000,37000,594000,12,58400,0.596,1.524,15000,0.513,0,0,1,2,0,0,1,0.651,0.617,retards,1
M,23,urbain,vente_vivres,0,1,21,607000,492000,115000,121000,48000,609000,12,59900,0.521,2.02,14000,0.662,1,0.633,1,3,0,0,1,0.594,0.926,aucun,0
F,40,urbain,vente_vivres,1,2,17,963000,853000,110000,96000,61000,312000,12,30700,0.279,3.127,19000,0.332,0,0,0,0,0,0,0,0,0.7,aucun,0
M,32,urbain,artisanat,0,1,75,2359000,1203000,1156000,1097000,47000,1345000,6,264500,0.229,4.147,192000,0.643,0,0,1,4,2,0,0,0,0.971,aucun,0
M,48,rural,services,1,5,45,140000,51000,89000,87000,78000,150000,12,14800,0.166,5.878,14000,0.94,0,0,0,0,0,0,0,0,0.557,aucun,0
M,22,urbain,commerce_detail,1,6,49,167000,133000,34000,29000,27000,150000,12,14800,0.435,1.959,1000,0.762,1,0.726,0,0,0,0,1,0.173,0.511,aucun,0
M,38,urbain,services,0,3,76,24480000,7316000,17164000,16160000,80000,19618000,12,1929100,0.112,8.377,2586000,0.692,0,0,1,0,0,0,0,0,0.843,aucun,0
M,39,urbain,quincaillerie_materiaux,0,2,35,3502000,3167000,335000,342000,53000,992000,12,97500,0.291,3.508,29000,0.734,0,0,0,0,0,0,1,0.423,0.766,aucun,0
