genre,age,zone,secteur,informel,personnes_a_charge,anciennete_activite_mois,chiffre_affaires,charges_activite,revenu_activite,flux_tresorerie_net,charges_perso,montant_demande,duree_mois,mensualite,taux_endettement,couverture_cashflow,epargne_mensuelle,regularite_epargne,participe_tontine,regularite_tontine,a_historique,nb_credits_anterieurs,nb_retards,deja_impaye,a_caution,capacite_caution,score_reputation,type_probleme,defaut
M,38,urbain,commerce_detail,0,2,36,409000,362000,47000,41000,65000,204000,18,13400,0.285,3.059,4000,0.645,0,0,1,3,1,0,1,0.526,0.776,aucun,0
F,39,urbain,commerce_detail,1,4,15,887000,751000,136000,105000,85000,707000,18,46300,0.34,2.268,6000,0.82,0,0,0,0,0,0,1,0.868,0.724,aucun,0
F,40,urbain,commerce_detail,0,4,43,473000,422000,51000,49000,42000,486000,12,47800,0.937,1.025,0,0.785,1,0.536,0,0,0,0,1,0.225,0.898,aucun,0
F,30,rural,agriculture,1,4,47,280000,201000,79000,83000,64000,150000,18,9800,0.124,8.469,12000,0.877,0,0,1,3,1,0,1,0.339,0.85,aucun,0
F,46,rural,services,1,1,61,436000,167000,269000,209000,22000,423000,12,41600,0.155,5.024,28000,0.601,1,0.578,0,0,0,0,1,0.477,0.699,aucun,0
F,37,rural,quincaillerie_materiaux,0,3,40,132000,110000,22000,19000,20000,150000,12,14800,0.673,1.284,3000,0.64,1,0.648,1,1,0,0,1,0.592,0.565,aucun,0
F,42,urbain,commerce_detail,1,3,25,10779000,8549000,2230000,2141000,67000,8491000,9,1113300,0.499,1.923,297000,0.234,1,0.562,0,0,0,0,1,0.425,0.807,aucun,0
F,27,urbain,commerce_detail,1,3,13,43000,38000,5000,4000,84000,150000,12,14800,2.959,0.27,0,0.294,0,0,1,0,1,0,0,0,0.949,impaye,1
M,36,urbain,quincaillerie_materiaux,1,3,13,1270000,1109000,161000,142000,58000,1179000,12,115900,0.72,1.225,19000,0.832,1,0.754,1,3,1,0,1,0.573,0.818,aucun,0
F,48,urbain,vente_vivres,1,5,33,1007000,926000,81000,80000,75000,570000,12,56000,0.691,1.429,2000,0.844,1,0.731,0,0,0,0,1,0.497,0.808,aucun,0
M,47,urbain,artisanat,1,5,33,2330000,1222000,1108000,928000,103000,2536000,12,249400,0.225,3.721,15000,0.56,1,0.873,1,3,1,0,0,0,0.496,retards,1
M,31,rural,services,1,2,14,3816000,1356000,2460000,2332000,60000,2192000,12,215500,0.088,10.821,13000,0.597,1,0.572,1,1,0,0,1,0.163,0.863,aucun,0
F,33,rural,vente_vivres,1,3,42,1323000,1149000,174000,162000,71000,426000,18,27900,0.16,5.806,26000,0.504,0,0,1,2,0,0,1,0.603,0.702,aucun,0
M,29,urbain,services,0,1,28,350000,76000,274000,263000,38000,306000,24,15000,0.055,17.532,28000,0.701,0,0,0,0,0,0,0,0,0.848,aucun,0
M,32,urbain,agriculture,1,2,21,3786000,2534000,1252000,1029000,56000,2025000,12,199100,0.159,5.168,174000,0.658,0,0,0,0,0,0,1,0.57,0.743,aucun,0
F,25,urbain,vente_vivres,1,2,18,216000,197000,19000,15000,68000,150000,12,14800,0.779,1.013,2000,0.5,1,0.681,0,0,0,0,1,0.245,0.893,aucun,0
F,37,urbain,quincaillerie_materiaux,1,2,77,119000,104000,15000,11000,51000,150000,12,14800,0.987,0.743,0,0.683,0,0,1,2,0,0,1,0.365,0.885,aucun,0
M,44,urbain,artisanat,0,0,12,2884000,1611000,1273000,1138000,20000,1626000,12,159900,0.126,7.117,139000,0.621,1,0.914,1,0,1,0,1,0.506,0.828,aucun,0
F,31,urbain,commerce_detail,1,1,88,996000,861000,135000,109000,49000,429000,12,42200,0.313,2.583,3000,0.568,1,0.675,1,3,5,0,1,0.191,0.824,aucun,0
F,37,urbain,artisanat,1,0,21,121000,76000,45000,43000,38000,150000,18,9800,0.218,4.387,0,0.605,1,0.836,1,1,0,0,0,0,0.828,aucun,0
F,36,urbain,commerce_detail,1,1,93,189000,166000,23000,21000,33000,150000,12,14800,0.643,1.419,1000,0.542,1,0.571,1,1,1,0,0,0,0.719,aucun,0
M,47,rural,quincaillerie_materiaux,0,2,14,954000,830000,124000,124000,72000,747000,6,146900,1.185,0.844,2000,0.393,0,0,1,2,0,0,1,0.175,0.808,retards,1
M,32,urbain,services,0,7,44,285000,89000,196000,194000,133000,150000,12,14800,0.076,13.107,25000,0.69,0,0,0,0,0,0,1,0.304,0.86,aucun,0
M,33,urbain,quincaillerie_materiaux,0,3,69,322000,281000,41000,35000,34000,295000,9,38700,0.944,0.904,4000,0.727,1,0.362,0,0,0,0,1,0.463,0.549,aucun,0
M,30,urbain,vente_vivres,0,3,69,108939000,99818000,9121000,7651000,65000,105179000,12,10342600,1.134,0.74,1121000,0.557,0,0,1,0,0,0,0,0,0.894,aucun,0
F,28,urbain,quincaillerie_materiaux,0,2,44,3708000,3420000,288000,223000,51000,3207000,18,210200,0.73,1.061,47000,0.553,0,0,0,0,0,0,0,0,0.848,aucun,0
M,43,urbain,commerce_detail,0,3,41,677000,579000,98000,96000,74000,310000,9,40600,0.414,2.364,6000,0.489,1,0.623,0,0,0,0,0,0,0.628,aucun,0
F,37,rural,commerce_detail,1,1,15,525000,427000,98000,88000,42000,388000,12,38200,0.39,2.304,10000,0.562,1,0.601,1,1,0,0,1,0.86,0.683,aucun,0
F,38,rural,commerce_detail,0,2,58,1286000,1142000,144000,123000,69000,388000,12,38200,0.265,3.22,10000,0.973,1,0.885,1,3,1,0,1,0.666,0.878,aucun,0
M,49,rural,quincaillerie_materiaux,0,2,65,371000,311000,60000,58000,38000,390000,18,25600,0.427,2.266,2000,0.793,0,0,0,0,0,0,1,0.397,0.774,aucun,0
F,50,urbain,vente_vivres,0,4,36,90000,73000,17000,14000,71000,150000,12,14800,0.871,0.946,3000,0.712,0,0,0,0,0,0,0,0,0.716,aucun,0
M,23,urbain,commerce_detail,1,5,40,57000,47000,10000,9000,20000,150000,12,14800,1.48,0.608,1000,0.947,0,0,1,3,2,0,1,0.683,0.811,impaye,1
M,44,urbain,artisanat,0,1,132,561000,341000,220000,194000,50000,180000,6,35400,0.161,5.48,25000,0.353,0,0,1,1,0,0,1,0.613,0.578,aucun,0
M,40,urbain,vente_vivres,1,1,16,21564000,17387000,4177000,3471000,39000,23624000,12,2323000,0.556,1.494,194000,0.539,1,0.74,1,4,2,0,0,0,0.862,aucun,0
M,34,rural,vente_vivres,1,3,45,605000,507000,98000,97000,70000,172000,12,16900,0.172,5.739,15000,0.686,0,0,0,0,0,0,0,0,0.733,impaye,1
M,41,urbain,vente_vivres,1,3,58,1189000,1063000,126000,121000,77000,299000,12,29400,0.233,4.116,12000,0.439,0,0,0,0,0,0,1,0.519,0.761,aucun,0
F,22,urbain,commerce_detail,1,4,13,1294000,1112000,182000,165000,95000,434000,12,42700,0.235,3.864,2000,0.182,0,0,1,3,1,0,0,0,0.646,aucun,0
F,51,urbain,services,0,2,14,1940000,429000,1511000,1447000,46000,1938000,12,190600,0.126,7.592,87000,0.266,0,0,0,0,0,0,0,0,0.9,aucun,0
F,43,urbain,vente_vivres,1,4,23,700000,577000,123000,96000,64000,413000,9,54100,0.44,1.774,10000,0.714,1,0.578,0,0,0,0,1,0.681,0.508,aucun,0
F,30,rural,commerce_detail,1,3,24,755000,655000,100000,88000,71000,795000,18,52100,0.521,1.689,6000,0.502,1,0.359,0,0,0,0,0,0,0.618,aucun,0
F,33,urbain,agriculture,1,4,22,579000,334000,245000,228000,77000,617000,24,30300,0.124,7.525,5000,0.335,0,0,0,0,0,0,1,0.47,0.616,aucun,0
M,23,urbain,services,0,4,25,479000,97000,382000,332000,87000,415000,18,27200,0.071,12.205,22000,0.694,0,0,0,0,0,0,1,0.434,0.489,aucun,0
F,35,urbain,services,0,1,25,157000,70000,87000,84000,43000,150000,6,29500,0.339,2.847,0,0.851,1,0.241,0,0,0,0,1,0.236,0.656,aucun,0
F,34,rural,artisanat,0,4,36,1617000,956000,661000,599000,76000,1739000,12,171000,0.259,3.503,25000,0.634,1,0.589,1,3,2,0,0,0,0.493,aucun,0
F,26,urbain,artisanat,1,6,21,431000,236000,195000,169000,135000,268000,12,26400,0.135,6.401,22000,0.616,1,0.463,1,3,2,0,1,0.296,0.646,aucun,0
F,45,rural,commerce_detail,0,2,30,410000,349000,61000,53000,37000,264000,12,26000,0.426,2.038,6000,0.533,0,0,1,2,1,0,1,0.303,0.902,aucun,0
M,49,urbain,quincaillerie_materiaux,0,5,35,3870000,3459000,411000,397000,94000,3062000,12,301100,0.733,1.318,28000,0.78,0,0,0,0,0,0,1,0.475,0.9,aucun,0
M,38,urbain,quincaillerie_materiaux,1,3,28,191000,167000,24000,18000,20000,164000,12,16100,0.671,1.118,4000,0.383,0,0,1,4,0,0,0,0,0.712,aucun,0
M,35,rural,commerce_detail,1,3,45,555000,477000,78000,78000,69000,593000,12,58300,0.747,1.338,1000,0.7,1,0.712,0,0,0,0,0,0,0.856,aucun,0
M,42,urbain,commerce_detail,1,1,74,25310000,21894000,3416000,2621000,38000,27215000,9,3568200,1.045,0.735,394000,0.825,1,0.437,0,0,0,0,1,0.765,0.836,aucun,0
F,38,urbain,commerce_detail,1,2,16,328000,263000,65000,51000,52000,197000,12,19400,0.298,2.629,7000,0.713,1,0.36,1,4,4,0,1,0.078,0.933,aucun,0
M,28,urbain,quincaillerie_materiaux,1,3,20,1443000,1251000,192000,191000,57000,535000,18,35100,0.183,5.441,18000,0.743,1,0.474,1,1,0,0,0,0,0.58,retards,1
F,32,urbain,services,1,5,53,437000,121000,316000,272000,85000,449000,12,44200,0.14,6.154,15000,0.246,0,0,1,1,1,0,0,0,0.487,aucun,0
F,35,urbain,services,1,2,42,162000,65000,97000,86000,42000,150000,12,14800,0.153,5.81,9000,0.89,1,0.895,1,2,0,0,0,0,0.581,aucun,0
F,40,rural,commerce_detail,1,3,56,36477000,31822000,4655000,4012000,72000,26255000,12,2581700,0.555,1.554,394000,0.535,1,0.787,0,0,0,0,0,0,0.69,aucun,0
M,38,urbain,commerce_detail,1,2,51,707000,620000,87000,68000,63000,277000,12,27200,0.313,2.5,2000,0.49,1,0.563,1,0,1,0,1,0.413,0.587,aucun,0
F,40,urbain,vente_vivres,0,4,25,1244000,1061000,183000,171000,83000,690000,12,67800,0.37,2.522,8000,0.231,0,0,1,0,0,0,1,0.631,0.64,aucun,0
F,24,urbain,quincaillerie_materiaux,0,3,77,13809000,12197000,1612000,1542000,77000,9670000,12,950900,0.59,1.622,127000,0.379,0,0,0,0,0,0,0,0,0.954,aucun,0
F,44,rural,artisanat,1,3,79,267000,163000,104000,84000,64000,227000,12,22300,0.214,3.767,7000,0.467,0,0,1,3,0,0,0,0,0.704,aucun,0
F,38,urbain,artisanat,0,4,20,383000,201000,182000,178000,82000,413000,12,40600,0.223,4.384,4000,0.753,0,0,1,1,1,0,0,0,0.757,aucun,0
M,61,urbain,artisanat,0,6,72,1439000,971000,468000,365000,118000,1483000,6,291700,0.623,1.251,20000,0.263,0,0,0,0,0,0,0,0,0.867,aucun,0
F,35,rural,artisanat,1,4,76,2842000,1526000,1316000,1293000,84000,1968000,12,193500,0.147,6.682,140000,0.319,1,0.395,1,1,2,0,1,0.842,0.596,aucun,0
F,41,rural,agriculture,1,5,91,630000,424000,206000,198000,96000,325000,24,16000,0.078,12.374,26000,0.399,1,0.385,0,0,0,0,0,0,0.332,aucun,0
F,63,rural,vente_vivres,1,3,52,350000,315000,35000,36000,24000,247000,24,12100,0.346,2.975,5000,0.129,1,0.347,1,2,1,0,1,0.91,0.641,aucun,0
M,40,urbain,commerce_detail,0,3,29,2495000,2170000,325000,323000,74000,1401000,12,137800,0.424,2.344,32000,0.511,0,0,1,3,2,0,1,0.768,0.382,aucun,0
F,37,urbain,commerce_detail,1,4,24,351000,295000,56000,56000,40000,225000,12,22100,0.395,2.534,1000,0.368,1,0.696,1,0,1,0,0,0,0.85,aucun,0
F,29,urbain,vente_vivres,1,3,29,790000,671000,119000,123000,60000,811000,12,79700,0.67,1.543,5000,0.418,1,0.634,1,5,2,0,1,0.835,0.602,aucun,0
F,52,rural,commerce_detail,1,1,17,415000,355000,60000,60000,39000,285000,18,18700,0.312,3.208,8000,0.391,0,0,1,2,0,0,1,0.215,0.655,aucun,0
M,28,urbain,commerce_detail,0,1,45,751000,625000,126000,125000,46000,214000,12,21000,0.167,5.952,7000,0.242,0,0,1,0,1,0,1,0.733,0.46,aucun,0
M,42,urbain,agriculture,0,1,32,267000,183000,84000,68000,62000,222000,12,21800,0.26,3.119,10000,0.691,0,0,0,0,0,0,0,0,0.789,aucun,0
M,34,urbain,commerce_detail,0,4,16,434000,380000,54000,53000,36000,212000,12,20800,0.385,2.548,6000,0.173,0,0,1,1,0,0,0,0,0.815,aucun,0
F,36,rural,agriculture,1,3,24,350000,202000,148000,139000,64000,151000,18,9900,0.067,14.039,14000,0.786,1,0.244,0,0,0,0,0,0,0.737,aucun,0
M,25,rural,services,0,1,68,1049000,393000,656000,681000,35000,946000,12,93000,0.142,7.323,36000,0.256,0,0,1,0,2,0,1,0.707,0.899,aucun,0
M,50,urbain,quincaillerie_materiaux,0,2,46,686000,567000,119000,115000,68000,268000,12,26400,0.222,4.356,2000,0.776,0,0,0,0,0,0,0,0,0.765,aucun,0
M,35,rural,services,0,2,23,1262000,484000,778000,644000,55000,969000,18,63500,0.082,10.142,102000,0.611,0,0,1,1,2,0,1,0.395,0.724,aucun,0
F,27,rural,commerce_detail,1,4,90,296000,238000,58000,46000,50000,280000,12,27500,0.474,1.673,3000,0.59,1,0.787,1,1,0,1,1,0.197,0.46,aucun,0
F,49,urbain,quincaillerie_materiaux,0,5,42,500000,437000,63000,53000,110000,253000,12,24900,0.395,2.128,3000,0.798,0,0,1,1,3,0,0,0,0.733,retards,1
F,33,urbain,commerce_detail,0,2,18,1016000,825000,191000,171000,61000,662000,12,65100,0.341,2.627,4000,0.507,1,0.943,1,2,1,0,1,0.228,0.495,aucun,0
M,41,rural,artisanat,1,6,30,1239000,649000,590000,558000,102000,918000,12,90300,0.153,6.179,77000,0.606,1,0.843,1,4,0,0,0,0,0.498,aucun,0
F,46,urbain,commerce_detail,0,1,15,175000,150000,25000,20000,20000,150000,18,9800,0.392,2.041,4000,0.706,0,0,1,1,2,0,0,0,0.882,aucun,0
F,42,urbain,commerce_detail,1,3,77,782000,650000,132000,108000,50000,842000,12,82800,0.627,1.304,11000,0.465,1,0.682,0,0,0,0,1,0.445,0.872,retards,1
F,20,urbain,services,0,1,57,299000,96000,203000,171000,38000,301000,18,19700,0.097,8.68,13000,0.859,1,0.809,1,2,2,0,0,0,0.697,aucun,0
M,44,rural,quincaillerie_materiaux,0,4,23,1294000,1203000,91000,90000,89000,553000,12,54400,0.598,1.654,8000,0.556,1,0.908,0,0,0,0,1,0.358,0.497,retards,1
F,37,urbain,vente_vivres,1,2,12,2904000,2366000,538000,462000,68000,2073000,12,203800,0.379,2.267,38000,0.743,1,0.874,1,2,3,0,1,0.116,0.883,aucun,0
M,35,rural,quincaillerie_materiaux,0,5,56,65000,56000,9000,7000,104000,150000,12,14800,1.644,0.473,0,0.609,1,0.748,1,1,0,0,0,0,0.718,retards,1
M,37,urbain,commerce_detail,1,5,41,342000,289000,53000,48000,48000,150000,12,14800,0.279,3.243,9000,0.379,1,0.396,0,0,0,0,1,0.351,0.491,aucun,0
M,24,urbain,services,0,1,71,747000,301000,446000,335000,41000,420000,12,41300,0.093,8.111,75000,0.457,0,0,0,0,0,0,0,0,0.946,aucun,0
F,40,rural,commerce_detail,1,4,10,14239000,11589000,2650000,2523000,100000,7430000,12,730600,0.276,3.453,298000,0.622,0,0,0,0,0,0,0,0,0.643,aucun,0
M,26,urbain,commerce_detail,0,4,53,1327000,1098000,229000,230000,81000,975000,12,95900,0.419,2.398,1000,0.596,1,0.634,1,2,1,0,0,0,0.891,aucun,0
M,35,urbain,commerce_detail,0,6,34,639000,561000,78000,62000,54000,508000,12,50000,0.641,1.24,5000,0.699,0,0,0,0,0,0,1,0.23,0.64,aucun,0
M,39,urbain,commerce_detail,0,3,112,381000,321000,60000,60000,50000,220000,6,43300,0.722,1.386,2000,0.36,0,0,1,2,2,0,0,0,0.762,retards,1
F,48,rural,commerce_detail,0,3,17,251000,222000,29000,28000,21000,248000,12,24400,0.841,1.147,3000,0.41,1,0.54,0,0,0,0,0,0,0.932,aucun,0
F,31,urbain,vente_vivres,1,6,60,217000,175000,42000,33000,34000,210000,12,20600,0.49,1.602,3000,0.453,0,0,1,1,0,0,1,0.181,0.92,aucun,0
F,51,urbain,commerce_detail,0,3,54,318000,259000,59000,48000,52000,274000,12,26900,0.456,1.784,4000,0.489,1,0.48,1,3,0,0,1,0.538,0.675,aucun,0
F,47,urbain,commerce_detail,0,3,15,369000,313000,56000,46000,52000,202000,12,19900,0.355,2.311,9000,0.406,1,0.776,0,0,0,0,1,0.511,0.795,aucun,0
F,34,urbain,quincaillerie_materiaux,1,2,30,828000,690000,138000,112000,73000,377000,12,37100,0.269,3.019,22000,0.366,0,0,0,0,0,0,0,0,0.602,aucun,0
F,28,urbain,commerce_detail,1,2,50,523000,438000,85000,72000,40000,182000,24,8900,0.105,8.089,4000,0.946,1,0.163,1,2,2,0,0,0,0.762,aucun,0
F,25,urbain,services,1,3,23,343000,70000,273000,279000,75000,159000,9,20800,0.076,13.413,31000,0.45,1,0.834,1,3,0,0,0,0,0.745,aucun,0
M,40,urbain,agriculture,0,3,24,253000,169000,84000,69000,70000,270000,12,26600,0.317,2.594,13000,0.639,1,0.357,1,1,0,0,0,0,0.83,aucun,0
F,31,urbain,vente_vivres,1,3,64,329000,300000,29000,30000,26000,199000,12,19600,0.676,1.531,5000,0.431,1,0.595,0,0,0,0,0,0,0.825,aucun,0
M,49,rural,artisanat,0,0,97,370000,247000,123000,113000,20000,223000,18,14600,0.119,7.739,16000,0.501,0,0,1,1,0,1,1,0.313,0.832,aucun,0
M,32,rural,commerce_detail,1,3,61,316000,259000,57000,52000,77000,205000,12,20200,0.354,2.574,1000,0.778,0,0,0,0,0,0,1,0.427,0.506,retards,1
F,30,urbain,commerce_detail,1,2,16,1058000,826000,232000,221000,66000,847000,12,83300,0.359,2.653,28000,0.705,1,0.485,1,2,1,1,1,0.557,0.787,aucun,0
M,40,urbain,services,1,3,8,1910000,818000,1092000,1083000,71000,1971000,18,129200,0.118,8.382,97000,0.312,0,0,0,0,0,0,1,0.71,0.793,aucun,0
F,32,urbain,services,0,2,19,220000,75000,145000,150000,55000,150000,9,19700,0.136,7.614,8000,0.429,0,0,0,0,0,0,0,0,0.879,aucun,0
M,38,rural,artisanat,0,2,53,1546000,902000,644000,484000,71000,1464000,12,144000,0.224,3.361,103000,0.673,0,0,1,2,1,0,0,0,0.702,aucun,0
F,47,urbain,commerce_detail,1,4,57,1077000,945000,132000,115000,82000,680000,12,66900,0.507,1.719,15000,0.718,1,0.809,0,0,0,0,1,0.829,0.814,aucun,0
M,39,urbain,services,0,3,29,696000,208000,488000,392000,72000,337000,12,33100,0.068,11.843,80000,0.829,0,0,0,0,0,0,0,0,0.664,aucun,0
F,39,urbain,vente_vivres,1,1,19,2186000,1859000,327000,260000,42000,1557000,12,153100,0.468,1.698,4000,0.664,0,0,1,0,0,0,1,0.358,0.819,aucun,0
F,40,urbain,commerce_detail,1,4,30,517000,456000,61000,48000,42000,367000,12,36100,0.592,1.33,9000,0.228,1,0.822,0,0,0,0,0,0,0.813,aucun,0
F,23,urbain,commerce_detail,0,2,13,162799000,136586000,26213000,25241000,50000,59157000,12,5817100,0.222,4.339,2767000,0.616,0,0,0,0,0,0,1,0.827,0.74,aucun,0
M,42,urbain,agriculture,1,5,7,663000,477000,186000,142000,108000,220000,12,21600,0.116,6.574,10000,0.758,0,0,1,4,2,0,1,0.26,0.683,aucun,0
M,39,rural,commerce_detail,0,1,43,623000,554000,69000,69000,27000,488000,12,48000,0.696,1.437,11000,0.553,0,0,1,3,2,0,0,0,0.549,impaye,1
F,46,rural,artisanat,1,2,40,882000,477000,405000,395000,48000,772000,12,75900,0.187,5.204,58000,0.677,1,0.605,0,0,0,0,0,0,0.642,aucun,0
F,43,rural,quincaillerie_materiaux,0,3,18,621000,570000,51000,45000,45000,480000,12,47200,0.925,0.953,5000,0.384,1,0.386,1,3,5,1,1,0.348,0.564,retards,1
F,36,rural,services,1,3,61,888000,250000,638000,560000,71000,488000,18,32000,0.05,17.499,112000,0.444,0,0,0,0,0,0,1,0.838,0.571,aucun,0
F,47,urbain,services,0,2,37,5613000,2427000,3186000,3038000,55000,4055000,12,398700,0.125,7.62,458000,0.451,1,0.758,1,4,1,0,1,0.305,0.603,aucun,0
F,35,rural,artisanat,1,6,22,347000,181000,166000,125000,113000,354000,12,34800,0.21,3.592,14000,0.263,0,0,0,0,0,0,1,0.784,0.858,aucun,0
F,40,rural,commerce_detail,1,6,44,337000,272000,65000,56000,41000,349000,12,34300,0.528,1.633,1000,0.141,0,0,1,0,1,0,0,0,0.781,impaye,1
M,35,rural,commerce_detail,1,2,110,438000,380000,58000,47000,50000,196000,12,19300,0.333,2.435,6000,0.218,1,0.886,0,0,0,0,1,0.102,0.741,aucun,0
M,42,rural,quincaillerie_materiaux,1,3,13,1413000,1302000,111000,89000,62000,467000,12,45900,0.414,1.939,9000,0.496,0,0,0,0,0,0,0,0,0.59,aucun,0
F,35,urbain,vente_vivres,1,1,115,403000,360000,43000,39000,39000,325000,12,32000,0.744,1.219,4000,0.616,0,0,1,3,1,0,1,0.754,0.82,aucun,0
M,53,urbain,commerce_detail,0,4,37,1040000,904000,136000,112000,93000,414000,12,40700,0.299,2.752,1000,0.496,1,0.431,0,0,0,0,0,0,0.68,aucun,0
F,56,urbain,commerce_detail,1,2,50,748000,671000,77000,66000,49000,696000,12,68400,0.888,0.965,11000,0.486,0,0,0,0,0,0,0,0,0.849,impaye,1
